Name,Year,Company,Transmission,KM_Driven,Fuel_Type,Owner,Registration,City,Original_Price,Sales_Price,Month,EMI(₹)
Maruti New  Wagon-R LXI CNG 1.0 L,2020,Maruti,MANUAL,20724,Petrol + CNG,1st Owner,DL-1C,New Delhi,594699,594699,Sep,11626
Maruti Celerio ZXI OPT AMT,2017,Maruti,AUTOMATIC,87848,Petrol,1st Owner,TS-08-x-xxxx,Hyderabad,465799,454899,Jan,8893
Hyundai i10 ERA 1.1 IRDE,2010,Hyundai,MANUAL,60476,Petrol,2nd Owner,KL-40,Kochi,229099,193099,Aug,3775
Maruti Alto 800 LXI,2013,Maruti,MANUAL,40700,Petrol,1st Owner,TN-12-x-xxxx,Chennai,256699,256699,Jul,5019
Mahindra XUV 3OO W8 (O) AT,2021,Mahindra,MANUAL,4022,Petrol,1st Owner,MH-12,Pune,1213099,1213099,Dec,22781
Skoda Rapid AMBITION 1.6 MPFI MT,2017,Skoda,MANUAL,46204,Petrol,1st Owner,KL-07,Kochi,611199,611199,Apr,11949
Volkswagen Polo HIGHLINE1.2L PETROL,2013,Volkswagen,MANUAL,39352,Petrol,2nd Owner,MH-01,Mumbai,388299,388299,Apr,7591
Hyundai i10 SPORTZ 1.2 AT,2009,Hyundai,AUTOMATIC,49839,Petrol,1st Owner,MH-12,Pune,262299,262299,Oct,5128
Ford Ecosport 1.0 ECOBOOST TITANIUM SPORTS(SUNROOF),2019,Ford,MANUAL,29221,Petrol,1st Owner,TN-02-x-xxxx,Chennai,1025499,1025499,Oct,19258
Hyundai Eon ERA PLUS,2016,Hyundai,MANUAL,61372,Petrol,1st Owner,MP-37,Indore,313499,313499,Sep,6129
Ford Ecosport 1.5TITANIUM TDCI,2016,Ford,MANUAL,41283,Diesel,1st Owner,UP-32-x-xxxx,Lucknow,674099,674099,Oct,13179
Ford Figo 1.2 ZXI DURATEC,2010,Ford,MANUAL,79565,Petrol,2nd Owner,KA-03-x-xxxx,Bangalore,266999,266999,Oct,5220
Tata PUNCH CREATIVE  AMT,2021,Tata,MANUAL,12459,Petrol,1st Owner,KA-50-x-xxxx,Bangalore,965149,965149,Nov,18125
Volkswagen Vento 1.2 TSI HIGHLINE PLUS AT,2017,Volkswagen,AUTOMATIC,36381,Petrol,1st Owner,RJ-14,Jaipur,836599,836599,Oct,15710
Maruti Swift VXI,2012,Maruti,MANUAL,74741,Petrol,1st Owner,MH-04,Mumbai,356499,356499,Aug,6970
Volkswagen Vento Highline 1.0 TSI MT,2021,Volkswagen,MANUAL,8689,Petrol,1st Owner,MH-46,Mumbai,1111999,1087999,Jun,20432
Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,2017,Ford,AUTOMATIC,14416,Petrol,2nd Owner,KL-07,Kochi,977199,977199,Oct,18351
Tata Tiago XE 1.2 REVOTRON,2020,Tata,MANUAL,11084,Petrol,1st Owner,MP-04,Indore,496399,488599,Aug,9552
Renault Captur RXT PETROL,2019,Renault,MANUAL,55608,Petrol,2nd Owner,GJ-01,Ahmedabad,725899,696799,Mar,13623
Hyundai Eon ERA PLUS,2015,Hyundai,MANUAL,22741,Petrol,1st Owner,MH-02,Pune,305999,305999,Jun,5982
Tata ALTROZ XZ 1.2,2021,Tata,MANUAL,5854,Petrol,1st Owner,KA-05-x-xxxx,Bangalore,887399,887399,Aug,16664
Hyundai NEW SANTRO SPORTZ 1.1,2022,Hyundai,MANUAL,606,Petrol,2nd Owner,MH-12,Pune,658899,658899,Jul,12882
Hyundai Creta S CRDI,2021,Hyundai,MANUAL,34068,Diesel,1st Owner,DL-10,New Delhi,1450499,1275499,Jan,23953
Renault TRIBER 1.0 RXT,2020,Renault,MANUAL,14205,Petrol,1st Owner,KA-51-x-xxxx,Bangalore,715799,715799,Mar,13994
Maruti Swift ZXI+,2021,Maruti,MANUAL,24637,Petrol,1st Owner,WB-26,Kolkata,840399,811799,Oct,15245
Toyota Corolla Altis VL AT,2018,Toyota,AUTOMATIC,34316,Petrol,2nd Owner,WB-06,Kolkata,1548699,1456199,May,27346
Mahindra XUV500 W10 FWD,2015,Mahindra,MANUAL,94062,Diesel,1st Owner,UP-32-x-xxxx,Lucknow,856799,856799,Oct,16090
Ford New Figo 1.2 TITANIUM,2019,Ford,MANUAL,23027,Petrol,1st Owner,TN-09-x-xxxx,Chennai,584599,584599,Sep,11429
Renault Captur RXE PETROL MT,2018,Renault,MANUAL,6607,Petrol,1st Owner,WB-20,Kolkata,628799,590299,Oct,11540
Maruti Alto 800 LXI,2015,Maruti,MANUAL,70844,Petrol,2nd Owner,TS-07-x-xxxx,Hyderabad,283799,278799,Aug,5451
MG HECTOR SHARP 2.0 DIESEL,2020,MG,MANUAL,69314,Diesel,1st Owner,AP-39-x-xxxx,Hyderabad,1762899,1580299,Jul,29676
Maruti Alto K10 VXI,2011,Maruti,MANUAL,69584,Petrol,2nd Owner,MH-05,Pune,202999,193299,Jul,3779
Honda Jazz 1.2 S MT,2018,Honda,MANUAL,50512,Petrol,2nd Owner,DL-9C,New Delhi,556499,509999,Apr,9971
Ford Ecosport 1.5 TREND TI VCT,2016,Ford,MANUAL,54960,Petrol,2nd Owner,TN-59-x-xxxx,Chennai,623099,623099,Dec,12182
Renault Kwid RXT 1.0 EASY-R AT OPTION,2018,Renault,AUTOMATIC,9371,Petrol,1st Owner,KL-42,Kochi,430999,430999,Apr,8426
Hyundai Creta S CRDI,2020,Hyundai,MANUAL,58113,Diesel,1st Owner,TS-09-x-xxxx,Hyderabad,1418599,1338499,Oct,25136
Hyundai Creta EX MT,2021,Hyundai,MANUAL,3002,Petrol,2nd Owner,GJ-06,Ahmedabad,1252299,1204199,Aug,22614
Honda WR-V 1.2 i-VTEC VX MT,2017,Honda,MANUAL,75368,Petrol,1st Owner,WB-02,Kolkata,635999,635999,Jun,12434
